,Artist Birth Country,Year Artwork 'Completed'
43916,North America,1966
43917,North America,1966
43918,North America,1967
43919,North America,1967
43920,North America,1967
43921,North America,1967
43922,North America,1967
43923,North America,1967
43924,North America,1969
43925,North America,1969
43926,North America,1969
43927,North America,1969
43928,North America,1969
43929,North America,1969
43930,North America,1969
43931,North America,1968
43932,North America,1968
43933,North America,1968
43934,North America,1968
43935,North America,1969
43936,North America,1969
43937,North America,1969
43938,North America,1969
43939,North America,1969
43940,North America,1969
43941,North America,1969
43942,North America,1969
43943,North America,1969
43944,North America,1969
43945,North America,1969
43946,North America,1969
43947,North America,1969
43948,North America,1969
43949,North America,1969
43950,North America,1969
43951,North America,1969
43952,North America,1969
43953,North America,1969
43954,North America,1969
43955,North America,1969
43956,North America,1969
43957,North America,1969
43958,North America,1969
43959,North America,1969
43960,North America,1969
43961,North America,1969
43962,North America,1969
43963,North America,1969
43964,North America,1969
43965,North America,1969
43966,North America,1969
43967,North America,1969
43968,North America,1969
43969,North America,1969
43970,North America,1969
43971,North America,1969
43972,North America,1969
43973,North America,1969
43974,North America,1969
43975,North America,1969
43976,North America,1969
43977,North America,1969
43978,North America,1969
43979,North America,1969
43980,North America,1969
43981,North America,1969
43982,North America,1969
43983,North America,1969
43984,North America,1969
43985,North America,1971
43986,North America,1971
43987,North America,1971
43988,North America,1971
43989,North America,1971
43990,North America,1971
43991,North America,1972
43992,North America,1972
43993,North America,1972
43994,North America,1972
43995,North America,1972
43996,North America,1972
43997,North America,1972
43998,North America,1972
43999,North America,1972
44000,North America,1972
44001,North America,1972
44002,North America,1972
44003,North America,1972
44004,North America,1972
44005,North America,1972
44006,North America,1972
44007,North America,1972
44008,North America,1972
44009,North America,1972
44010,North America,1972
44011,North America,1972
44012,North America,1972
44013,North America,1972
44014,North America,1972
44015,North America,1972
44016,North America,1972
44017,North America,1972
44018,North America,1972
44019,North America,1974
44020,North America,1974
44021,North America,1974
44022,North America,1974
44023,North America,1974
44031,Oceania,1966
44032,Oceania,1966
44033,Oceania,1966
44034,Oceania,1966
44035,Oceania,1966
44036,Oceania,1966
44037,Oceania,1968
44038,Oceania,1969
44039,Oceania,1972
44040,Oceania,1972
44041,Oceania,1972
44042,Oceania,1972
44043,Oceania,1972
44044,Oceania,1972
44045,Oceania,1972
44046,Oceania,1972
44047,Oceania,1972
44052,Asia,1965
44053,Asia,1965
44054,Asia,1965
44055,Asia,1966
44056,Asia,1966
44057,Asia,1966
44058,Asia,1966
44059,Asia,1971
44060,Asia,1971
44061,Asia,1971
44062,Asia,1971
44070,,1972
44093,North America,1970
44094,North America,1970
44095,North America,1970
44096,North America,1970
44097,North America,1970
44098,North America,1970
44099,North America,1970
44100,North America,1970
44101,North America,1970
44102,North America,1970
44103,North America,1970
44104,North America,1970
44105,North America,1970
44106,North America,1970
44107,North America,1970
44108,North America,1970
44109,North America,1970
44110,North America,1970
44111,North America,1970
44112,North America,1970
44113,North America,1970
44114,North America,1970
44120,Oceania,1963
44121,Oceania,1963
44122,Oceania,1963
44123,Oceania,1963
44124,Oceania,1964
44125,Oceania,1964
44126,Oceania,1965
44127,Oceania,1965
44128,Oceania,1965
44129,Oceania,1965
44130,Oceania,1965
44131,Oceania,1965
44132,Oceania,1965
44133,Oceania,1965
44134,Oceania,1965
44135,Oceania,1965
44136,Oceania,1965
44137,Oceania,1965
44138,Oceania,1965
44139,Oceania,1966
44140,Oceania,1966
44141,Oceania,1966
44142,Oceania,1966
44143,Oceania,1966
44144,Oceania,1966
44145,Oceania,1966
44146,Oceania,1966
44147,Oceania,1967
44148,Oceania,1967
44149,Oceania,1967
44150,Oceania,1967
44151,Oceania,1967
44152,Oceania,1967
44153,Oceania,1967
44154,Oceania,1967
44155,Oceania,1967
44156,Oceania,1969
44157,Oceania,1970
44158,Oceania,1970
44159,Oceania,1970
44160,Oceania,1970
44161,Oceania,1970
44162,Oceania,1970
44163,Oceania,1970
44164,Oceania,1970
44165,Oceania,1970
44166,Oceania,1970
44167,Oceania,1970
44168,Oceania,1970
44169,Oceania,1970
44170,Oceania,1970
44171,Oceania,1970
44172,Oceania,1970
44173,Oceania,1971
44174,Oceania,1972
44175,Oceania,1972
44176,Oceania,1972
44177,Oceania,1972
44178,Oceania,1972
44179,Oceania,1972
44180,Oceania,1972
44181,Oceania,1972
44182,Oceania,1972
44183,Oceania,1972
44184,Oceania,1972
44185,Oceania,1972
44186,Oceania,1972
44187,Oceania,1972
44188,Oceania,1972
44189,Oceania,1972
44190,Oceania,1972
44191,Oceania,1972
44192,Oceania,1972
44193,Oceania,1972
44194,Oceania,1972
44195,Oceania,1972
44196,Oceania,1972
44197,Oceania,1972
44198,Oceania,1972
44199,Oceania,1972
44200,Oceania,1972
44201,Oceania,1973
44202,Oceania,1973
44203,Oceania,1973
44204,Oceania,1973
44205,Oceania,1973
44206,Oceania,1973
44207,Oceania,1973
44208,Oceania,1973
44209,Oceania,1973
44210,Oceania,1973
44211,Oceania,1975
44484,,1970
44485,,1970
44486,,1970
44487,,1970
44488,,1970
44489,,1970
44539,,1968
44540,,1968
44541,,1968
44542,,1968
44543,,1972
44562,North America,1966
44563,North America,1966
44564,North America,1966
44565,North America,1966
44566,North America,1970
44567,North America,1970
44568,North America,1970
44569,North America,1970
44570,North America,1970
44571,North America,1970
44572,North America,1970
44573,North America,1970
44574,North America,1970
44575,North America,1970
44576,North America,1970
44577,North America,1970
44578,North America,1970
44579,North America,1970
44580,North America,1970
44619,North America,1971
44620,North America,1971
44621,North America,1971
44622,North America,1967
44712,Africa,1968
44713,Africa,1968
44714,Africa,1968
44715,Africa,1968
44716,Africa,1969
44717,Africa,1969
44718,Africa,1969
44719,Africa,1969
44720,Africa,1969
44721,Africa,1969
